FID,depno,distrito_minero,nombres,modelo,cod_modelo,tamaño,edad_inf_min,edad_sup_min,estilo_min,asoc_min,alt_hidrotermal,unid_estrati_caja,lito_caja,edad_inf_caja,edad_sup_caja,recursos_min,ley_min,commodity,ficha,etiqueta,geometry
e250K.DepositMetalif.18520,5053,La Carolina,13 de Agosto,06a Granitoides (W-Mo),6a,ocurrencia,,,vetas,scheelita,,,esquistos micáceos,,,,WO3 1 % (máximo),W,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp5053.html,13 de Agosto,POINT (-65.99999999999994 -32.93329999999992)
e250K.DepositMetalif.18178,3120,Agua de Dionisio,Bajo de las Pampitas,04c Cu-Au,4c,desconocida,,,diseminada | venillas,galena | minerales oxidados de cobre | pirita | calcopirita,silícea-biotítica | sericítica | argílica,Riodacitas de Macho Muerto | Grupo Volcánico Farallón Negro,,,,,,Cu | Au | Ag,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp3120.html,Bajo de las Pampitas,POINT (-66.64029999999991 -27.312499999999943)
e250K.DepositMetalif.18356,3315,,Nacientes del Atuel,04c Cu-Au,4c,desconocida,,,diseminada,,carbonática | potásica | fílica | argílica | propilítica,,,,,,,Cu | Au,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp3315.html,Nacientes del Atuel,POINT (-70.09999999999991 -34.549999999999955)
e250K.DepositMetalif.17651,317,Las Aguadas,San Jorge,06j Pb-Zn-Ag-Cu,6j,,,,vetiforme,galena | esfalerita,,Basamento Cristalino,suite granítica,,,,,Pb | Zn,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp317.html,San Jorge,POINT (-65.58329999999995 -32.28329999999994)
e250K.DepositMetalif.18534,5086,,Santa Rita,06a Granitoides (W-Mo),6a,ocurrencia,Devónico,Carbonífero,vetas,wolframita,,Complejo Metamórfico Conlara,esquistos,,,,,W,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp5086.html,Santa Rita,POINT (-65.54999999999995 -33.383299999999906)
e250K.DepositMetalif.17829,523,Valcheta,Ceferino Namuncurá,14c Polimetálicos simples (Pb-Zn-Ag (+-Au-Ba)),14c,,,,vetiforme,galena | tetraedrita | calcopirita | pirita | cerusita | crisocola,,Complejo Plutónico Navarrete,suite granítica,,,,,Pb,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp523.html,Ceferino Namuncurá,POINT (-66.12919999999991 -40.43059999999991)
e250K.DepositMetalif.21046,24643,,Casillas | Brujo,07e Polimetálico complejo (Pb-Ag-Zn-Cu (±Au±Sb±Bi±W),7e,pequeño,,,vetiforme,baritina | calcopirita | galena | malaquita,,,lutitas y areniscas,,,,,Ba | Cu | Pb,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp24643.html,Casillas ,POINT (-65.39089999999993 -22.71169999999995)
e250K.DepositMetalif.18527,5069,Paso del Rey (grupo Santo Domingo),"Yanquetruz, Atahualpa",08f Volcanogénico (W),8f,ocurrencia,,,diseminada | guías,scheelita | oro | antimonita,,Formación San Luis,metavolcanitas,,,,,W - Sb,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp5069.html,Yanquetruz,POINT (-65.91669999999993 -32.94999999999993)
e250K.DepositMetalif.21217,24815,Rinconada,Fray Bartolomé de las Casas,14d Au-Sb en turbiditas,14d,pequeño,,,vetiforme,oro | pirita | esfalerita | cuarzo | carbonatos ,,,arenisca-limolita,,,,,Au,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp24815.html,Fray Bartolomé de las Casas,POINT (-66.16599999999994 -22.437299999999937)
e250K.DepositMetalif.18458,5082,,Los Avestruces,06a Granitoides (W-Mo),6a,ocurrencia,Devónico,Carbonífero,vetiforme,scheelita | wolframita | pirita | calcopirita | calcosina | covellina | cuprita | bismutita | malaquita | azurita,propilítica | silícea | feldespatización | moscovitización,Complejo Metamórfico Conlara | Complejo Metamórfico Conlara | Granito Los Avestruces,esquistos cuarzo-micáceos | gneises | suite granítica | suite máfica-ultramáfica | biotitita,,,"80000 tonelada métrica, mineral, medido+indicado+inferidas",WO3 1 % (máximo),W-Bi-Mo,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp5082.html,Los Avestruces,POINT (-65.91669999999993 -32.466699999999946)
e250K.DepositMetalif.17753,398,,La Negrita,07e Polimetálico complejo (Pb-Ag-Zn-Cu (±Au±Sb±Bi±W),7e,,Mioceno,Mioceno,vetiforme,galena | esfalerita | sulfosales de plata | pirita,arcillosa | sericitica | carbonática | clorítica,,rocas volcánicas intermedias | rocas sedimentarias no clasificadas,,,"800 toneladas métricas, mena, inferida",Ag 50 g/t | Au 4 g/t,Au | Ag | Pb,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp398.html,La Negrita,POINT (-69.1527999999999 -32.31759999999991)
e250K.DepositMetalif.20970,24570,,Salar de Río Grande ,"09f Evaporitas Lacustres,Yeso-Halita-Silvita-Boratos-Sulfatos(MgKCaLi)",9f,,cuaternario,cuaternario,salmueras,Halita | Yeso | Mirabilita,,,evaporita,,,"14138 millones de metros cúbicos, salmuera, recurso inferido",Li 374 mg/L | K 6845 mg/L,Li | Sulfato de Na,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp24570.html,Salar de Río Grande ,POINT (-68.1631999999999 -25.059099999999944)
e250K.DepositMetalif.17931,579,,La Josefina,07b Au baja sulfuración (Adularia) (Au-Ag),7b,mediano,Jurásico,Jurásico,stockwork | vetifome,oro | plata | pirita | galena | calcopirita | electrum | freibergita | cuarzo | adularia | esfalerita | ópalo | baritina | arsenopirita | marcasita | tetraedrita | bornita | hematita | illita | esmectita,silícea | pirítica | sericítica/argílica,Formación Chon Aike,rocas volcánicas félsicas-intermedias,,,,Au 1 g/t | Ag 5 g/t,Ag | Au | Pb,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp579.html,La Josefina,POINT (-69.3608999999999 -47.848499999999945)
e250K.DepositMetalif.17226,2099,Grupo Aguada del Monte,"San Vicente, Nanina, Don Justo",07a Manganeso (Mn+-F),7a,pequeño,,,vetiforme,criptomelano | óxidos de hierro | calcita | calcedonia | ópalo,,Formación Ojo de Agua,granodiorita,,,"10400 tonelada métrica, mineral, reserva probable",Mn 34.21 % (máximo) | Fe 7.51 % (máximo),Mn,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp2099.html,San Vicente,POINT (-64.08469999999994 -29.58779999999996)
e250K.DepositMetalif.18629,5234,El Quemado,El Peñón,03a Pegmatitas Complejas(Be-Li-Aguamarina),3a,ocurrencia,Proterozoico,Proterozoico,diseminada,hübnerita | bismutinita | bismutina | manganotantalita | uraninita | fosfoferrita | bederita,,Formación La Paya,esquistos moteados cordieríticos,,,,,Ta,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp5234.html,El Peñón,POINT (-66.31099999999992 -24.832799999999907)
e250K.DepositMetalif.17924,572,,Lejano,07b Au baja sulfuración (Adularia) (Au-Ag),7b,mediano,,,vetifome,galena | esfalerita | limonitas | óxidos de manganeso | cuarzo | calcedonia,silicificación | caolinización | limonitización,Formación Chon Aike,rocas volcánicas félsicas,,,"1.15 millones de toneladas métricas, metal, indicada",Ag 331 g/t,Au | Ag | Pb,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp572.html,Lejano,POINT (-70.29399999999993 -47.416699999999935)
e250K.DepositMetalif.18102,3177,Durazno,"Los Tres, Don Marcos I",09a Cu sedimentario (Cu-Ag),9a,desconocida,Triásica,Triásica,impregnación | irregular,calcosina | calcopirita | malaquita | calcantita | cuprita | cobre nativo,,Grupo Río Huaco,,,,,,Cu | U,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp3177.html,Los Tres,POINT (-68.59169999999995 -30.146099999999933)
e250K.DepositMetalif.18280,3305,,"Sud California,Don Ricardo,Don Emilio",08a VMS Máfico (tipo Cyprus),8a,desconocida,Ordovícico,Ordovícico,impregnación,cobre nativo | malaquita,,,,,,,,Cu,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp3305.html,Sud California,POINT (-69.09169999999995 -32.716699999999946)
e250K.DepositMetalif.17575,217,,La Colorada,14c Polimetálicos simples (Pb-Zn-Ag (+-Au-Ba)),14c,,,,vetiforme,galena | calcopirita,,Formación Espinal,suite granítica,,,,,Pb | Cu,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp217.html,La Colorada,POINT (-68.16279999999995 -28.201699999999903)
e250K.DepositMetalif.19745,11336,Carrizal de Las Burras,Casposo,07b Au baja sulfuración (Adularia) (Au-Ag),7b,pequeño,Pérmico,Triásico,vetas y venillas de sulfuros-Au,pirita aurífera | galena argentífera,silícica | sericítica | propilítica,Grupo Choyoi,rocas volcánicas félsicas-intermedias,,,"5.2 millones de toneladas métricas, mena, recurso mineral",Au 4.38 g/t | Ag 229.7 g/t,Au | Ag,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp11336.html,Casposo,POINT (-69.63499999999993 -31.208099999999945)
e250K.DepositMetalif.17233,2106,Grupo Cama Cortada,"Las Dos Quebradas, Cama Cortada",07a Manganeso (Mn+-F),7a,pequeño,,,vetiforme,hollandita | criptomelano | romanechita | pirolusita | calcita,,Formación Cerro de los Burros,pórfiro dacítico,,,"104900 tonelada métrica, mineral, reserva probada",Mn 17.7 %,Mn,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp2106.html,Las Dos Quebradas,POINT (-64.11599999999993 -29.795599999999922)
e250K.DepositMetalif.17411,49,,Montecristo,14c Polimetálicos simples (Pb-Zn-Ag (+-Au-Ba)),14c,,,,vetiforme,galena,,Complejo Cochinoca Escaya,arenisca,,,,,Pb,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp49.html,Montecristo,POINT (-65.85389999999995 -22.646399999999915)
e250K.DepositMetalif.18109,3197,Puchuzum,San Jorge,07e Polimetálico complejo (Pb-Ag-Zn-Cu (±Au±Sb±Bi±W),7e,pequeño,Triásico,Triásico,clavos,malaquita | azurita | bornita | calcosina | enargita | cerusita | anglesita | cobre nativo | psilomelano | esfalerita,propilítica,Grupo Choiyoi,,,,"3200 toneladas métricas, mena, inferida",Cu 11.7 % | Pb 3.33 %,Cu | Pb,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp3197.html,San Jorge,POINT (-69.45279999999991 -31.09999999999991)
e250K.DepositMetalif.17404,42,,Prospecto Río Grande,08d SEDEX(Zn-Pb-Ba-Ag),8d,,,,estratiforme,esfalerita | baritina | pirrotina,,Formación Lampazar,cuarcita,,,,,Zn | Ba,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp42.html,Prospecto Río Grande,POINT (-65.68249999999995 -23.13519999999994)
e250K.DepositMetalif.17760,405,,Agua del Pablito,07e Polimetálico complejo (Pb-Ag-Zn-Cu (±Au±Sb±Bi±W),7e,,,,vetiforme,galena | fluorita | pirita | limonitas,,Formación La Horqueta,esquisto,,,,,Pb,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp405.html,Agua del Pablito,POINT (-68.80169999999993 -34.58809999999994)
e250K.DepositMetalif.19567,11146,,El Puesto (El Domo),07c Au alta sulfuración (Alunita) (Au-Ag-Cu),7c,pequeño,Triásico,Jurásico inferior,vetas y venillas de sulfuros-Au,oro | limonita | enargita,silicificación | argílica avanzada | sericítica,Formación Los Menucos,rocas volcánicas intermedias,,,,,Au,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp11146.html,El Puesto ,POINT (-68.07169999999991 -41.14029999999991)
e250K.DepositMetalif.19676,11185,,Sargent,14c Polimetálicos simples (Pb-Zn-Ag (+-Au-Ba)),14c,ocurrencia,,,sulfuro masivo,galena | pirita | esfalerita | calcopirita | cuarzo | calcita,oxidación,Metamorfitas Lapataia | Formación Yahgán | Formación Lemaire,esquisto | suite ultramáfica | rocas metamórficas ultramáficas,,,,,Pb | Zn,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp11185.html,Sargent,POINT (-68.14999999999992 -54.73329999999993)
