FID,depno,distrito_minero,nombres,modelo,cod_modelo,tamaño,edad_inf_min,edad_sup_min,estilo_min,asoc_min,alt_hidrotermal,unid_estrati_caja,lito_caja,edad_inf_caja,edad_sup_caja,recursos_min,ley_min,commodity,ficha,etiqueta,geometry
e250K.DepositMetalif.19566,11145,,Cerro Diamante-Los Dos Amigos,07k Fluorita,7k,pequeño,,,vetas,fluorita,,Grupo Cerro Carrizalito,rocas volcánicas intermedias,,,"2610 tonelada métrica, mineral, reserva probable+posible",,fluorita,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp11145.html,Cerro Diamante,POINT (-69.00029999999992 -34.564799999999934)
e250K.DepositMetalif.17232,2105,,"Pedrito, Popola, Pochita",07a Manganeso (Mn+-F),7a,ocurrencia,,,vetiforme,psilomelano | hematita | baritina | calcita | ópalo | cuarzo | fluorita,,Formación Ojo de Agua,granodiorita,,,,,Mn,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp2105.html,Pedrito,POINT (-64.09249999999992 -29.706699999999955)
e250K.DepositMetalif.17225,2098,Grupo Aguada del Monte,"25 de mayo, San Vicente",07a Manganeso (Mn+-F),7a,pequeño,,,vetiforme,criptomelano | hematita | limonita | calcita | calcedonia | ópalo,,Formación Ojo de Agua,granodiorita,,,"38500 tonelada métrica, mineral, reserva probable",Fe 28.81 % (máximo) | Mn 25.31 % (máximo),Fe-Mn,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp2098.html,25 de mayo,POINT (-64.08469999999994 -29.58779999999996)
e250K.DepositMetalif.19737,11327,,Río Quequén Salado,"09f Evaporitas Lacustres,Yeso-Halita-Silvita-Boratos-Sulfatos(MgKCaLi)",9f,pequeño,Pleistoceno,Holoceno,Cuerpos,yeso,,,limolita-loess,,,,,yeso,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp11327.html,Río Quequén Salado,POINT (-60.587399999999946 -38.67739999999992)
e250K.DepositMetalif.17403,41,El Aguilar,Tapada,08d SEDEX(Zn-Pb-Ba-Ag),8d,,,,estratiforme,galena | esfalerita,,Formación Cardonal,arenisca | cuarcita | lutita,,,,,Zn | Pb,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp41.html,Tapada,POINT (-65.7247999999999 -23.23419999999993)
e250K.DepositMetalif.18519,5052,El Araucano-La Higuera,La Higuera,08f Volcanogénico (W),8f,ocurrencia,,,diseminada,scheelita,,Formación San Luis | Formación San Luis | Formación San Luis,filitas | metavolcanitas | esquistos cuarzo-espesartíticos,,,,,W,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp5052.html,La Higuera,POINT (-65.94999999999993 -32.966699999999946)
e250K.DepositMetalif.18512,5035,Pancanta,San Manuel,06a Granitoides (W-Mo),6a,pequeño,,,vetiforme,scheelita | wolframita,moscovitización,Grupo Micaesquistos | Granito La Escalerilla,"micaesquistos, filitas | granito",,,,,W,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp5035.html,San Manuel,POINT (-66.14999999999992 -32.93329999999992)
e250K.DepositMetalif.21202,24800,Orosmayo,Civita Vecchia,12b Sn,12b,ocurrencia,Plioceno,Holoceno,placeres aluviales y eluviales,casiterita,,,arena-grava,,,,,Sn,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp24800.html,Civita Vecchia,POINT (-66.3547999999999 -22.599899999999934)
e250K.DepositMetalif.19573,11153,Cabalango,La Nueva,07k Fluorita,7k,mediano,,,vetas  ,fluorita,,Granito de Achala,suite granítica,,,"150000 tonelada métrica, mineral, reservas geológicas",fluorita 72 %,fluorita,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp11153.html,La Nueva,POINT (-64.58679999999993 -31.426099999999906)
e250K.DepositMetalif.18443,5058,La Florida,"La Florida, La Bruja, otras (grupo La Florida)",08f Volcanogénico (W),8f,ocurrencia,,,diseminada,scheelita | wolframita | pirita,turmalinización | silicificación,Formación San Luis | Formación San Luis | Formación San Luis | Formación San Luis,filitas | esquistos biotíticos | cuarcitas | metavolcanitas,,,"10000 tonelada métrica, mineral, reserva probable",WO3 0.7 %,W,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp5058.html,La Florida,POINT (-65.96669999999995 -33.11669999999992)
e250K.DepositMetalif.17738,383,Cerro Blanco-Marayes,Huinca,05c Skarn plumbo-cincífero (Zn-Pb_Ag),5c,,Pérmico,Triásico,cuerpo,galena | pirita | calcosina | óxidos de manganeso | limonitas,,,,,,,,Pb | Ag | Zn,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp383.html,Huinca,POINT (-67.34529999999995 -31.416699999999935)
e250K.DepositMetalif.20955,24549,,Tecka,01c Ni-Cu asociados a tholeitas (Ni-Cu-PGE±Cr)),1c,desconocida,,,diseminada,oro nativo | pentlandita | valeriita | calcopirita | pirrotina | espinelo | ilmenita | titanomagnetita | magnetita,,Formación Cresta de los Bosques,suite anortosítica-gábrica,,,,,Pt | Au | Ni | Cu | Cr,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp24549.html,Tecka,POINT (-70.62609999999995 -43.708099999999945)
e250K.DepositMetalif.17916,564,,Glaciar Sobral,06d Granitoides (Cu),6d,,,,vetifome,galena | molibdenita | pirita,,Tonalita Sobral,suite granítica,,,,,Pb | Mo,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp564.html,Glaciar Sobral,POINT (-72.41669999999993 -47.78329999999994)
e250K.DepositMetalif.21133,24731,,Sin Nombre,12a Au,12a,pequeño,,,placeres aluviales,oro,,,arena-grava,,,,,Au,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp24731.html,Sin Nombre,POINT (-65.01989999999995 -22.103899999999953)
e250K.DepositMetalif.18094,3298,,Río de las Vacas,04b Cu (±Mo±Au),4b,desconocida,,,diseminada | venillas,calcopirita | bornita | pirita | tetraedrita | galena | magnetita | covellina | malaquita,potásica | cuarzo-sericítica | propilítica,Compleojo Eruptivo Eoandínico,,,,,,Cu,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp3298.html,Río de las Vacas,POINT (-69.98329999999993 -32.56669999999991)
e250K.DepositMetalif.18087,3144,Santa Rosa,"San Juan, Santa Rosa, Malaquita",07e Polimetálico complejo (Pb-Ag-Zn-Cu (±Au±Sb±Bi±W),7e,desconocida,,,vetas,pirita | calcopirita | esfalerita | pirrotina | covellina | hematita | malaquita | azurita,propilítica | sericítica | argílica | biotítica,Formación Negro Peinado,,,,,,Cu,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp3144.html,San Juan,POINT (-67.65499999999992 -28.928899999999942)
e250K.DepositMetalif.18265,3336,Taquimilán Centro,Naunauco,07e Polimetálico complejo (Pb-Ag-Zn-Cu (±Au±Sb±Bi±W),7e,desconocida,,,vetas,calcopirita | calcosina | malaquita | azurita | bornita | covellina,,Subgrupo Rayoso (Grupo Bajada del Agrio) | Formación Colipilli,,,,,,Cu,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp3336.html,Naunauco,POINT (-70.27499999999992 -37.56669999999991)
e250K.DepositMetalif.18101,3176,Guachi,"Guachi Oeste (Santa Filomena,Dolores)",04c Cu-Au,4c,desconocida,Mioceno,Mioceno,vetas asociadas a pórfido,calcopirita | pirita | galena | oro | malaquita | azurita,silicificación | propilítica,Formación Cerro Morado,rocas volcánicas intermedias,,,,Cu 6.16 % media | Ag 48.4 g/t | Au 14.9 g/t (máximo),Cu | Au,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp3176.html,Guachi Oeste ,POINT (-68.86109999999991 -29.919999999999902)
e250K.DepositMetalif.17396,36,,3 de marzo | 5 de mayo | 2 de noviembre | 7 de febrero,14c Polimetálicos simples (Pb-Zn-Ag (+-Au-Ba)),14c,,,,filoneana,galena argentífera | esfalerita,,,arenisca,,,,,Pb | Zn,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp36.html,3 de marzo ,POINT (-65.21049999999991 -23.906999999999925)
e250K.DepositMetalif.17574,216,Umango,Helios,14c Polimetálicos simples (Pb-Zn-Ag (+-Au-Ba)),14c,,,,vetiforme,galena,,Formación Espinal,esquisto,,,,,Pb,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp216.html,Helios,POINT (-68.39749999999992 -28.913299999999936)
e250K.DepositMetalif.17752,397,,El Cacique,14c Polimetálicos simples (Pb-Zn-Ag (+-Au-Ba)),14c,,,,vetillas,galena | limonitas | pirita,,Formación Cerro de Las Yeguas,rocas volcánicas félsicas-intermedias,,,,,Pb,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp397.html,El Cacique,POINT (-68.90109999999993 -34.605599999999924)
e250K.DepositMetalif.19559,11123,Alcaparrosa,Santa Elena,08b VMS Máfico Siliciclástico (tipo Beshi),8b,pequeño,,,vetas,oro | galena | esfalerita | pirrotina | marcasita | pirita | calcopirita | cuarzo | arsenopirita | calcosina | covelina | ankerita | hematita | neodigenita | natroalunita | jarosita | goethita | escorodita | kieserita | hexaedrita | copiapita | calingasti,propilítica | pirítica | carbonática | sericítica/,Formación Alcaparrosa | Basalto Santa Elena,limolita | rocas volcánicas máficas-félsicas mezcladas,,,"43500 tonelada métrica, mineral, reserva probable-positiva",Pb 1.84 % | Zn 2.51 % | Cu 0.08 % | Ag 83 g/t | Au 4.51 g/t,Pb | Zn | Ag | Au,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp11123.html,Santa Elena,POINT (-69.40289999999993 -31.28239999999994)
e250K.DepositMetalif.18272,3374,Lago Futalaufquen,Libertador General San Martín,07e Polimetálico complejo (Pb-Ag-Zn-Cu (±Au±Sb±Bi±W),7e,desconocida,Jurásico,Terciario,vetas,galena | esfalerita | calcopirita | malaquita | azurita,silicificación | sericítica,Formación Lago La Plata | Grupo Divisadero,rocas volcánicas intermedias | rocas volcánicas intermedias,,,,,Pb | Zn | Cu,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp3374.html,Libertador General San Martín,POINT (-71.56669999999991 -43.11669999999992)
e250K.DepositMetalif.17567,209,Cerro Negro,Peregrina,14c Polimetálicos simples (Pb-Zn-Ag (+-Au-Ba)),14c,pequeño,,,vetiforme,galena | esfalerita | pirargirita-proustita | freibergita | telururos | acantita | pirita,silicificación | sericítica/moscovítica | propilítica,Formación Negro Peinado,rocas metamórficas no clasificadas,,,,,Ag,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp209.html,Peregrina,POINT (-67.72249999999991 -29.061699999999917)
e250K.DepositMetalif.18450,5074,Piedras Coloradas,San José del Paso Grande,06a Granitoides (W-Mo),6a,ocurrencia,Devónico,Carbonífero,cuerpos lenticulares | relleno,scheelita | scheelita | scheelita,,Formación San Luis,esquistos micáceos,,,,,W,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp5074.html,San José del Paso Grande,POINT (-65.64999999999992 -32.716699999999946)
e250K.DepositMetalif.17745,389, El Cajón,Arroyo,14c Polimetálicos simples (Pb-Zn-Ag (+-Au-Ba)),14c,,,,vetiforme,galena | arsenopirita,,Grupo Cuyo,caliza,,,,,Pb | As,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp389.html,Arroyo,POINT (-69.93329999999992 -35.39999999999992)
e250K.DepositMetalif.20962,24557,,"San Roque (Guillermo I, II y III)",07c Au alta sulfuración (Alunita) (Au-Ag-Cu),7c,mediano,,,stockwork,galena | calcopirita | esfalerita | tetraedrita | pirita | arsenopirita | cuarzo | alunita | jarosita,silícica | argílica,,rocas volcánicas félsicas-intermedias,,,,,Au | Ag | Pb-Zn | In,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp24557.html,San Roque ,POINT (-65.80009999999993 -40.76929999999993)
e250K.DepositMetalif.17923,571,,La Valenciana,07b Au baja sulfuración (Adularia) (Au-Ag),7b,,,,vetifome | stockwork | brecha,óxidos de Cu | óxidos de manganeso,,Formación Chon Aike,rocas volcánicas félsicas,,,,,Au | Ag,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp571.html,La Valenciana,POINT (-69.6871999999999 -47.89279999999991)
e250K.DepositMetalif.17218,2091,Grupo Amimán,"San Pablo, Santa Rita",07a Manganeso (Mn+-F),7a,pequeño,,,vetiforme,hollandita | pirolusita | romanechita | ópalo | calcita,,Granito Ambargasta,granitos,,,"2863 toneladas métricas, mineral, reserva probable + probada ",Mn 2.32 % | Mn 11.68 %,Mn,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp2091.html,San Pablo,POINT (-63.87779999999992 -29.433299999999917)
e250K.DepositMetalif.17676,304,Las Aguadas,Farallón Negro,06j Pb-Zn-Ag-Cu,6j,,,,vetiforme,galena | esfalerita,,Basamento Metamórfico,esquisto,,,,,Pb | Zn | Ag,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp304.html,Farallón Negro,POINT (-65.61669999999992 -32.34999999999991)
e250K.DepositMetalif.20188,24352,Sijes,Monte Azul | Monte Verde | Monte Amarillo | Esperanza,"09f Evaporitas Lacustres,Yeso-Halita-Silvita-Boratos-Sulfatos(MgKCaLi)",9f,mediano,,,capas,colemanita | hidroboracita | inyoita | ulexita,,Formación Sijes,areniscas-pelitas-piroclastitas,,,,,boratos,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp24352.html,Monte Azul ,POINT (-66.68639999999994 -24.715299999999957)
e250K.DepositMetalif.17149,2022,,Minas Viejas,07a Manganeso (Mn+-F),7a,,,,vetiforme y como cemento de fajas craqueladas,psilomelano | wad | rodocrosita | yeso | galena | esfalerita | argentita | antimonita,argílica | silícea,Subgrupo Santa Bárbara | Ignimbrita Vilama,"limolitas, lutitas y arensicas finas | ignimbrita dacítica",,,,,Mn | Pb | Zn | Ag,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp2022.html,Minas Viejas,POINT (-66.96069999999992 -22.698399999999936)
e250K.DepositMetalif.19661,11142,Cerro Blanco-Marayes,Yanzi (Bella Blenda) y Cristal Blenda,05c Skarn plumbo-cincífero (Zn-Pb_Ag),5c,pequeño,Pérmico superior,Triásico,vetas y venillas de sulfuros,esfalerita | arsenopirita | calcopirita | galena | pirita,oxidación,Basamento,,,,"12240 tonelada métrica, mineral, reserva probable",Ag 936.8 g/t | Pb 19.18 % | Zn 6.7 %,Pb | Zn | Ag,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp11142.html,Yanzi ,POINT (-67.32779999999991 -31.404999999999916)
e250K.DepositMetalif.17142,2015,Cochinoca,Doncellas,07a Manganeso (Mn+-F),7a,ocurrencia,,,impregnaciones y guías en vetas,"""limonita"" | óxidos de manganeso",caolinización,Formación Doncellas,tobas dacíticas | depósitos glacifluviales,,,,,Mn | Fe | Sb,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp2015.html,Doncellas,POINT (-66.00419999999991 -22.851699999999937)
e250K.DepositMetalif.19654,11135,,Organullo,04d Au (±Bi),4d,ocurrencia,Terciario,Terciario,vetas y venillas de sulfuros-Au,pirita | galena | esfalerita,silicificación | sericítica/,,rocas volcánicas félsicas,,,"30000 tonelada métrica, mena, recurso mineral",Au 2 g/t,Pb | Au | Cu | Zn,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp11135.html,Organullo,POINT (-66.31859999999995 -24.394999999999925)
e250K.DepositMetalif.18025,3024,Pairique Chico (Cerro Agua Caliente),Arco Jara,07e Polimetálico complejo (Pb-Ag-Zn-Cu (±Au±Sb±Bi±W),7e,desconocida,,,vetas,,,Complejo Volcánico Pairique,rocas volcánicas intermedias,,,,,Cu,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp3024.html,Arco Jara,POINT (-66.84999999999991 -22.916699999999935)
e250K.DepositMetalif.18322,3266,,Don Víctor,09a Cu sedimentario (Cu-Ag),9a,pequeño,,,bancos,malaquita | azurita | calcosina,,Grupo Neuquén,,,,,Cu 3 %,Cu,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp3266.html,Don Víctor,POINT (-69.80829999999992 -36.09999999999991)
e250K.DepositMetalif.17320,2193,,La Negrita,07a Manganeso (Mn+-F),7a,pequeño,Triásico,Triásico,vetiforme,criptomelano | hollandita | coronadita | pirolusita | groutita | woodrufita | todorokita | cuarzo | pirita | rodocrosita | goethita | hematita | ramsdellita | ópalo | calcita,sericitización | propilítica | silícea | piritización,Complejo Los Menucos,Tobas riolíticas,,,,,Mn,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp2193.html,La Negrita,POINT (-68.23719999999992 -40.945599999999956)
e250K.DepositMetalif.17498,141,,Quebrada Colorada,14c Polimetálicos simples (Pb-Zn-Ag (+-Au-Ba)),14c,,,,vetiforme,baritina | galena,,Formación Puncoviscana,esquisto,,,,,Ba | Pb,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp141.html,Quebrada Colorada,POINT (-65.20309999999995 -22.488299999999924)
e250K.DepositMetalif.19668,11161,Sañogasta,La Josefa,06a Granitoides (W-Mo),6a,pequeño,,,vetas,wolframita,,Formación Ñuñorco,suite granítica,,,,,W,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp11161.html,La Josefa,POINT (-67.59109999999993 -29.60859999999991)
e250K.DepositMetalif.18436,5041,Sierra del Morro Oeste,Erika Luisa,08f Volcanogénico (W),8f,ocurrencia,,,estratoligado,scheelita,,Complejo Metamórfico Conlara | Complejo Metamórfico Conlara | Complejo Metamórfico Conlara,esquistos biotíticos | rocas calcosilicáticas | anfibolitas,,,"5500 tonelada métrica, mineral, inferida",,W,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp5041.html,Erika Luisa,POINT (-65.53329999999994 -33.14999999999992)
e250K.DepositMetalif.18614,5223,Valcheta,La Criolla,06a Granitoides (W-Mo),6a,desconocida,Triásico,Triásico,vetiforme,hübnerita | scheelita,,Granito Sierra de Pailemán,suite granítica,,,,,W,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp5223.html,La Criolla,POINT (-66.09999999999991 -40.49999999999994)
e250K.DepositMetalif.17327,2200,,sin nombre,07a Manganeso (Mn+-F),7a,ocurrencia,,,mantiforme,óxidos de manganeso,,Grupo Neuquén | Depósitos recientes,arenisca,,,,,Mn,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp2200.html,sin nombre,POINT (-67.77999999999992 -39.05469999999991)
e250K.DepositMetalif.19839,11323,,Cantera Pailemán,"09f Evaporitas Lacustres,Yeso-Halita-Silvita-Boratos-Sulfatos(MgKCaLi)",9f,mediano,,,lentes,calcita,,Formación Somuncurá,rocas volcánicas máficas-félsicas-intermedias dominantes,,,"3 millones de toneladas métricas, mineral, recurso medido",,caliza,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp11323.html,Cantera Pailemán,POINT (-65.9507999999999 -41.17539999999991)
e250K.DepositMetalif.18538,5090,,El Talar,06a Granitoides (W-Mo),6a,ocurrencia,,,vetiforme,,,Basamento cristalino,esquistos micáceos | esquistos micáceos,,,,WO3 0.63 % puntual,W,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp5090.html,El Talar,POINT (-65.3832999999999 -33.133299999999906)
e250K.DepositMetalif.18011,4004,,Rodeo de los Molles,02a Cuerpos diqueformes y vetiformes (Th-ETR),2a,pequeño,,,vetas,britholita | allanita | bastnäsita,fenitización,,suite granítica,,,,,ETR,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp4004.html,Rodeo de los Molles,POINT (-65.74999999999994 -32.39999999999992)
e250K.DepositMetalif.21228,24826,El Torno,El Torno,14d Au-Sb en turbiditas,14d,pequeño,,,vetiforme,oro | electrum | arsenopirita | pirita | pirrotina | esfalerita | calcopirita | galena | marcasita | andorita | bornita | casiterita | cuarzo | grafito,,,,,,,,Au,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp24826.html,El Torno,POINT (-66.14309999999995 -21.95389999999992)
e250K.DepositMetalif.21221,24819,Puyita,La Esperanza,14e Antimonita (Sb),14e,pequeño,,,vetiforme,antimonita | valeriita | andorita | cuarzo,,,,,,,,Sb,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp24819.html,La Esperanza,POINT (-66.12209999999993 -22.256299999999953)
e250K.DepositMetalif.19592,11210,,Sierra de Comechingones- Bubú,07k Fluorita,7k,mediano,Cretácico inferior,Cretácico inferior,vetas,fluorita,,Batolito Cerro Áspero- Alpa Corral,suite granítica,,,"500000 tonelada métrica, mineral, recurso inferido",fluorita 70 %,fluorita,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp11210.html,Sierra de Comechingones,POINT (-64.87999999999994 -32.565099999999916)
e250K.DepositMetalif.18360,3319,Cutral-Có,El Porvenir | Cerro Granito,09a Cu sedimentario (Cu-Ag),9a,mediano,,,impregnación,malaquita | azurita | marcasita | goethita,,Grupo Neuquén,,,,"2e+006 toneladas métricas, mineral, recurso indicado e inferido",Cu 1.86 %,Cu,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp3319.html,El Porvenir ,POINT (-69.54699999999991 -39.15489999999994)
e250K.DepositMetalif.17313,2186,Colipilli,Santa Olga,05d Skarn ferrífero (Fe),5d,ocurrencia,,,vetiforme,magnetita | maghemita | calcita | cuarzo | granate,sericitización | cloritización,Formación Agrio | Grupo Molle,calizas | microdiorita,,,,,Fe,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp2186.html,Santa Olga,POINT (-70.37139999999994 -37.83499999999992)
e250K.DepositMetalif.18018,3002,Cochinoca,Barcosconte,14c Polimetálicos simples (Pb-Zn-Ag (+-Au-Ba)),14c,desconocida,,,vetas,calcopirita | malaquita | azurita,,Complejo Cochinoca-Escaya,arenisca-dacita-riolita,,,,,Cu,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp3002.html,Barcosconte,POINT (-65.88639999999992 -22.687499999999943)
e250K.DepositMetalif.18196,3152,Nevados del Famatina,"Montey,Rosario,Italia,Independencia,Libertad",07e Polimetálico complejo (Pb-Ag-Zn-Cu (±Au±Sb±Bi±W),7e,ocurrencia,Mioceno superior,Plioceno,diseminada | venillas,pirita | calcopirita | bornita | malaquita | azurita | calcantita,fílica | argílica | alunita ,Formación Negro Peinado | Formación Mogote,,,,,Cu 3.1 % (máximo) | Au 2.1 g/t (máximo) | Ag 103.9 g/t (máximo),Cu | Ag | Pb | Zn,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp3152.html,Montey,POINT (-67.77749999999992 -28.99329999999992)
e250K.DepositMetalif.17491,127,,Tolar Chico,07l Au sulfuración intermedia,7l,pequeño,Mioceno,Mioceno,vetillas | stockwork,esfalerita | galena | plata nativa,argílica | oxidación,,rocas volcánicas félsicas-intermedias,,,,,Ag | Zn | Pb | Au,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp127.html,Tolar Chico,POINT (-67.08329999999995 -24.866699999999923)
e250K.DepositMetalif.17669,297,,María del Valle,14c Polimetálicos simples (Pb-Zn-Ag (+-Au-Ba)),14c,,,,vetiforme,galena,,Basamento Metamórfico,esquisto,,,,,Pb,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp297.html,María del Valle,POINT (-65.66669999999993 -32.716699999999946)
e250K.DepositMetalif.18189,3131,,La Pachamama,07e Polimetálico complejo (Pb-Ag-Zn-Cu (±Au±Sb±Bi±W),7e,desconocida,,,vetas | guías | lentes,,,Formación Famabalasto,,,,,Cu 4.3 % (máximo) | Pb 5.3 % (máximo),Cu | Pb,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp3131.html,La Pachamama,POINT (-67.54559999999992 -27.788599999999917)
e250K.DepositMetalif.18367,3347,,La Cautiva,07e Polimetálico complejo (Pb-Ag-Zn-Cu (±Au±Sb±Bi±W),7e,desconocida,Pérmico,Triásico,vetas,bornita | covellina | galena | minerales oxidados de cobre | fluorita,silicificación,Complejo Plutónico Pailemán,suite granítica,,,,,Cu | Pb | F,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp3347.html,La Cautiva,POINT (-65.99999999999994 -41.5166999999999)
e250K.DepositMetalif.17662,278,El Guaico,San Carlos - La Golondrina - Pascualito,06j Pb-Zn-Ag-Cu,6j,,,,vetiforme,galena | esfalerita | boulangerita | anglesita | calcopirita | cerusita,,Gneis Pichanas,gneis,,,,,Pb | Zn | Ag,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp278.html,San Carlos ,POINT (-65.21689999999995 -30.98389999999995)
e250K.DepositMetalif.20879,11289,,El Porvenir | Salar de Cauchari,"09f Evaporitas Lacustres,Yeso-Halita-Silvita-Boratos-Sulfatos(MgKCaLi)",9f,grande,,,capas de boratos,ulexita,,,evaporita,,,,,boratos,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp11289.html,El Porvenir ,POINT (-66.78659999999991 -23.81209999999993)
e250K.DepositMetalif.18545,5107,Sierra de Altautina,La Toyita,06a Granitoides (W-Mo),6a,ocurrencia,Devónico,Devónico,mantos,scheelita | fluorita | tungstita | minerales de Bi,,,metamorfitas | biotititas con turmalina,,,,,W-Bi,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp5107.html,La Toyita,POINT (-65.14999999999992 -31.749999999999943)
e250K.DepositMetalif.17840,461,,General Mosconi,14c Polimetálicos simples (Pb-Zn-Ag (+-Au-Ba)),14c,,Pérmico,Triásico,vetiforme,baritina | galena,,Grupo Villavicencio,caliza,,,,,Ba | Pb,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp461.html,General Mosconi,POINT (-69.08329999999995 -32.89999999999992)
e250K.DepositMetalif.19554,11118,,Santa Catalina,12a Au,12a,pequeño,Cuaternario,Cuaternario,placer,oro nativo,,,superficial,,,"6 millones de toneladas métricas, mineral, reservas totales",caliza 54.6 %,Au,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp11118.html,Santa Catalina,POINT (-66.05599999999993 -21.955799999999954)
e250K.DepositMetalif.18493,5157,Vinquis Sur,Vinquis Sur,05f Greisen (Sn-W),5f,ocurrencia,Ordovícico,Silúrico,vetas cuarzo-wolframita,wolframita | wolframita,greisenización,,granito,,,,,W,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp5157.html,Vinquis Sur,POINT (-67.2999999999999 -28.249999999999943)
e250K.DepositMetalif.21183,24780,El Aguilar,Rincón,08d SEDEX(Zn-Pb-Ba-Ag),8d,,Ordovícico inferior,Ordovícico medio,sEDEX Pb-Zn-Ag,galena | esfalerita | pirrotina | pirita,,,,,,,,Pb | Zn,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp24780.html,Rincón,POINT (-65.70799999999991 -23.184499999999957)
e250K.DepositMetalif.18329,3273,Las Cuevas,La Campeona (Agrupamiento Las Cuevas),11a Cu tipo Manto,11a,desconocida,,,relleno de amigdalas y/o cavidades | relleno de fracturas,calcosina | bornita | marcasita | malaquita | azurita,,Formación Tordillo,,,,,,Cu,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp3273.html,La Campeona ,POINT (-70.0499999999999 -32.82499999999993)
